id_refeicao,nome_refeicao,preco
500,"Bife Acebolado com Amendoim (Contém Nozes, Carne Bovina)",36.97
501,"Frango com Brócolis e Molho de Castanha (Contém Nozes)",71.91
502,"Omelete com Macarrão e Queijo (Contém Ovo, Glúten, Lactose)",32.17
503,"Salada de Tomate com Brócolis",43.27
504,"Bife Acebolado com Queijo (Contém Lactose, Carne Bovina)",61.78
505,"Omelete com Bife e Tomate (Contém Ovo, Carne Bovina)",65.68
506,"Frango com Macarrão e Ovo (Contém Glúten, Ovo)",66.73
507,"Salmão Grelhado com Arroz e Amêndoas (Contém Glúten, Nozes, Lactose)",27.53
508,"Omelete de Forno com Arroz e Queijo (Contém Ovo, Lactose)",72.37
509,"Arroz com Queijo, Amêndoas e Castanhas (Contém Lactose, Nozes)",24.64
510,"Panqueca de Trigo com Queijo (Contém Glúten, Lactose)",28.50
511,"Sopa de Legumes com Cenoura",18.00
512,"Carne de Porco ao Molho (Contém Carne de Porco)",40.00
513,"Sanduíche de Pão com Frango e Salada (Contém Glúten)",22.00
514,"Peixe e Arroz com Brócolis",34.00
515,"Espaguete ao Molho de Tomate (Contém Glúten)",26.00
516,"Frango com Amendoim (Contém Nozes)",37.50
517,"Risoto de Queijo e Castanha (Contém Lactose, Nozes)",45.00
518,"Batata Assada com Queijo (Contém Lactose)",20.00
519,"Salada Verde com Tomate e Cenoura",15.00
520,"Lasanha de Berinjela (Vegetariano)",29.50
521,"Tofu Grelhado com Legumes (Vegano)",27.00
522,"Camarão ao Alho e Óleo",48.00
523,"Risoto de Cogumelos (Contém Lactose)",42.50
524,"Bife à Parmegiana (Contém Carne Bovina, Lactose)",55.00
525,"Strogonoff de Frango",39.90
526,"Quibe Assado com Salada",33.30
527,"Moqueca de Peixe (Contém Peixe)",52.75
528,"Panqueca de Aveia com Mel (Contém Glúten)",24.20
529,"Espetinho Misto com Farofa",31.40
530,"Salada César (Contém Lactose)",26.80
531,"Nhoque ao Molho de Tomate (Contém Glúten)",30.00
532,"Bobó de Camarão",47.00
533,"Coxinha de Frango (Contém Glúten)",18.50
534,"Feijoada Completa (Contém Carne de Porco)",44.00
535,"Hambúrguer Artesanal (Contém Carne Bovina)",36.00
536,"Wrap de Frango com Rúcula (Contém Glúten)",25.50
537,"Salada de Quinoa com Legumes (Vegano)",23.00
538,"Caldo Verde (Contém Linguiça)",19.00
539,"Peito de Frango ao Molho de Laranja",35.50
540,"Tabule (Vegetariano)",22.00
541,"Curry de Grão-de-Bico (Vegano)",28.75
542,"Bacalhau à Gomes de Sá (Contém Peixe)",58.00
543,"Picanha Grelhada com Batatas (Contém Carne Bovina)",62.50
544,"Sushi Misto (Contém Peixe)",49.00
545,"Fettuccine Alfredo (Contém Lactose, Glúten)",34.50
546,"Salada de Frutas com Iogurte (Contém Lactose)",16.20
547,"Polenta Cremosa com Ragu",29.90
548,"Carne de Sol com Purê (Contém Carne Bovina)",45.00
549,"Bolo de Chocolate (Contém Glúten, Lactose)",12.00
550,"Creme de Abóbora (Vegetariano)",21.50
551,"Sopa Minestrone (Vegetariano)",20.00
552,"Tilápia ao Molho de Ervas (Contém Peixe)",38.00
553,"Espaguete ao Molho Pesto (Contém Nozes, Lactose)",31.00
554,"Ratatouille (Vegano)",26.00
555,"Prato Executivo do Dia",28.00
